132	378	8	8.87
1139	1381	3	27.25
139	298	8	6.69
266	416	4	12.72
108	140	103	17.54
1061	152	3	6.66
178	209	8	7.94
134	1579	3	6.84
725	200	3	8.08
102	155	116	16.9
12	1396	10	15.05
102	302	28	6.76
167	288	6	6.84
672	184	4	11.37
287	203	5	7.86
323	117	46	175.27
104	5347	3	7.59
1067	173	3	9.3
106	2040	5	6.88
1103	315	3	15.59
12	273	39	7.19
138	440	7	9.54
149	677	4	6.71
341	324	3	7.59
436	535	3	14.05
1169	110	7	10.47
3429	12	4	8.35
142	234	10	7.3
103	1775	7	9
109	3497	4	14.84
104	4498	3	7.59
3976	202	3	26.41
1354	132	5	17.08
2879	133	4	19.29
1738	107	7	14.13
2606	102	5	7.49
2903	118	3	8.55
1433	102	8	8.73
131	409	7	6.87
121	2207	4	11.43
563	144	5	7.8
187	863	3	8.63
225	2	13	12.49
106	2442	5	9.29
122	104	251	22.16
507	197	4	9.77
146	403	6	7.88
195	590	3	6.96
245	186	6	7.98
300	168	7	10.68
689	3101	3	29.86
102	537	21	19.29
5025	106	3	8.48
245	117	19	17.43
189	108	42	10.02
196	625	6	23.04
209	110	51	48.54
566	12	29	52.78
1121	155	3	7.48
114	2480	4	9.95
338	156	6	7.4
163	104	105	21.82
5226	107	3	9.76
3374	104	4	10.12
102	2662	6	14.64
869	260	5	26.18
105	1420	7	7.49
112	4972	3	12.5
139	371	8	10.51
383	460	4	18.17
884	174	3	7.61
1163	167	3	8.53
504	142	5	7.26
1385	294	5	34.76
21	1072	7	21.96
468	222	3	7.3
969	274	3	13.92
1053	269	3	14.11
271	428	3	8.14
112	3897	3	8.26
1261	201	3	11.63
3306	3305	4	70.59
594	107	13	10.22
102	4112	3	7.32
1676	129	3	7.24
9	596	5	7.36
