108	4411	3
12	8171	1
14	5829	8
131	8240	20
16021	8625	13
3450	2312	32
17314	7193	8
5350	916	13
793	9676	19
169	6547	24
12	8432	7
134	4241	10
2805	2514	1
114	637	15
2387	354	12
525	4229	25
202	62	10
120	1786	4
120	2581	3
12	7772	17
6144	4825	3
118	3006	5
23541	5524	11
8833	5521	2
2138	7423	21
545	4720	3
101	8787	1
132	84	20
239	3269	10
24783	2010	15
2976	8543	9
744	3637	5
24503	964	5
1351	4754	3
117	9361	8
7	5312	12
17361	6725	27
7	6191	11
19188	738	19
106	3367	16
14	5022	6
12	6832	15
21	9265	9
1591	4054	4
5089	7357	9
10128	2291	33
104	6775	16
111	5965	2
8872	3696	6
101	7423	23
117	373	15
322	5631	3
123	4425	0
114	4982	5
2	8850	6
24165	1691	16
109	8584	12
125	9354	9
17474	531	11
2159	748	17
3797	604	13
104	219	9
138	6028	5
3866	4129	11
102	724	5
523	448	9
4529	4110	1
1540	443	1
102	7762	22
13186	6505	0
811	2577	8
161	5701	2
121	7348	13
172	1420	8
14	8249	31
105	8853	10
1260	9347	19
429	1041	20
300	4939	6
14	3706	11
101	2171	9
356	8107	12
284	3904	4
5348	9627	14
12	1264	8
106	5452	9
122	4174	12
21577	3917	20
343	3921	8
189	2598	13
373	2682	9
101	9918	11
101	5977	16
111	392	10
16449	1155	5
12	4696	14
262	825	15
17767	1753	5
122	7045	5
118	3454	3
101	9812	7
16618	3575	9
114	4443	9
348	3890	1
101	7543	5
197	5137	17
108	591	9
12	1982	14
1939	3819	17
14	6455	17
12	1627	18
2536	4093	9
105	7253	6
15934	38	7
1167	6063	10
25509	2387	10
149	2888	4
101	1150	2
1908	983	4
13173	7676	2
138	5537	9
107	4299	1
7689	5676	4
2725	6761	5
260	5036	10
2796	4659	25
4487	9841	7
4560	9791	23
176	5548	9
592	9520	0
12	6170	1
14	8502	15
1419	5133	19
249	8983	1
124	9220	3
3936	4008	9
573	1375	7
460	2168	6
18490	4514	18
101	2647	17
170	9590	4
111	3338	3
109	841	17
3552	8708	13
125	96	10
1397	6623	2
16339	9392	13
8069	3172	10
255	8899	0
103	1585	19
103	511	17
13082	300	12
3121	1630	4
101	823	2
9369	8820	14
8442	7137	2
154	5605	0
14	8091	13
2970	5635	7
